"id_consum","identifier","id_facture","ClientName","Ville","periodeDebut","periodeFin","Conso","PrixUnitaire","Taxes","StatutPaiement","penalite","TypeClient","NumComp","TypeComp","email","NumTel","MontFact","MonTotal"
1096,"846837197",C01096,Alyssa Williamson,San Pedro,"2023-09-12","2023-09-17",98,280,5488.0, Non payé,300,Domestique,"130957",Compteur normal,jillbaldwin@gmail.com,"93533110",32928.0,33228.0
1097,"223858701",C01097,David Garner,San Pedro,"2024-09-30","2025-03-12",175,300,10500.0, payé,0,Industriel,"355130",Compteur normal,tnguyen@camacho.com,"28589631",63000.0,63000.0
1098,"718213749",C01098,Sara Lambert,Korhogo,"2023-07-27","2024-07-04",95,300,5700.0, Non payé,1000,Industriel,"878945",Compteur à 4,luismiller@torres-white.com,"78775552",34200.0,35200.0
1099,"760383509",C01099,Steven Cooper,San Pedro,"2024-04-18","2025-03-01",168,250,8400.0, payé,0,Domestique,"635622",Compteur à 4,nstrong@hotmail.com,"61972871",50400.0,50400.0
1100,"621013643",C01100,Justin Johnson,Bouaké,"2023-07-25","2024-03-05",99,280,5544.0, Non payé,300,Domestique,"727315",Compteur à 4,christopherglover@arnold.com,"70561931",33264.0,33564.0
1101,"545025668",C01101,John Gill,Korhogo,"2024-04-18","2025-03-18",110,300,6600.0, Non payé,500,Commercial,"173104",Compteur à 4,janicelozano@yahoo.com,"99157995",39600.0,40100.0
1102,"969151610",C01102,Michelle Strickland,Yamoussoukro,"2024-11-23","2025-01-22",140,250,7000.0, Non payé,500,Domestique,"203620",Compteur normal,uwoodard@yahoo.com,"83829674",42000.0,42500.0
1103,"581427980",C01103,Betty Anderson,Bouaké,"2025-01-31","2025-04-28",19,300,1140.0, Non payé,1000,Domestique,"239750",Compteur à 4,bradkemp@hotmail.com,"53128610",6840.0,7840.0
1104,"693261195",C01104,Hunter Wolfe,Yamoussoukro,"2023-11-22","2025-01-06",178,280,9968.0, Non payé,300,Commercial,"629653",Compteur à 4,joshua84@gmail.com,"45011217",59808.0,60108.0
1105,"700339233",C01105,Ann Morales,Yamoussoukro,"2023-03-26","2024-10-12",119,250,5950.0, payé,0,Industriel,"958539",Compteur normal,jennifer36@rodriguez.org,"31431759",35700.0,35700.0
1106,"784772180",C01106,Amy Cohen,Yamoussoukro,"2023-05-10","2023-06-17",24,250,1200.0, payé,0,Commercial,"331852",Compteur normal,elizabeth77@gmail.com,"47481884",7200.0,7200.0
1107,"692557930",C01107,Rachel Holloway,San Pedro,"2024-03-16","2024-12-30",20,250,1000.0, Non payé,500,Industriel,"611349",Compteur à 4,fbarnes@gmail.com,"74727141",6000.0,6500.0
1108,"883903266",C01108,Mr. Mark Turner,Korhogo,"2024-11-09","2025-01-06",59,300,3540.0, payé,0,Domestique,"769157",Compteur normal,kstephens@hotmail.com,"74903564",21240.0,21240.0
1109,"647273866",C01109,Brittany Stewart,San Pedro,"2024-02-21","2025-01-18",36,280,2016.0, payé,0,Industriel,"828495",Compteur normal,changjohn@hotmail.com,"58409938",12096.0,12096.0
1110,"771320517",C01110,Brian Colon,Yamoussoukro,"2024-09-03","2024-11-01",14,280,784.0, Non payé,1000,Domestique,"976091",Compteur normal,nathaniel95@brown-medina.org,"98556281",4704.0,5704.0
1111,"519111718",C01111,Samantha Caldwell,Abidjan,"2025-01-18","2025-03-30",170,280,9520.0, Non payé,500,Domestique,"345571",Compteur normal,hatfieldtim@gmail.com,"27085874",57120.0,57620.0
1112,"691616665",C01112,Christopher Stafford,San Pedro,"2024-07-08","2024-11-04",192,280,10752.0, payé,0,Commercial,"123729",Compteur normal,swansonfrancisco@gmail.com,"65760826",64512.0,64512.0
1113,"364417195",C01113,Michael Smith,Bouaké,"2023-07-09","2025-03-21",31,300,1860.0, Non payé,300,Industriel,"583975",Compteur à 4,coleangela@gmail.com,"85184822",11160.0,11460.0
1114,"740227941",C01114,Kristy Pearson,Yamoussoukro,"2023-10-19","2024-10-23",135,250,6750.0, payé,0,Domestique,"611909",Compteur normal,kenneth32@hill.com,"70062197",40500.0,40500.0
1115,"567929198",C01115,Gina Kim,Bouaké,"2024-09-02","2025-04-07",130,300,7800.0, payé,0,Domestique,"834546",Compteur à 4,grahamthomas@gmail.com,"81627196",46800.0,46800.0
1116,"258151706",C01116,Douglas Mora,Korhogo,"2024-09-14","2025-04-28",154,280,8624.0, Non payé,1000,Industriel,"831589",Compteur à 4,rayallison@gmail.com,"97944571",51744.0,52744.0
1117,"299605093",C01117,Kristen Thompson,Yamoussoukro,"2024-04-10","2025-01-23",157,280,8792.0, payé,0,Industriel,"325796",Compteur à 4,brett56@young.com,"28376823",52752.0,52752.0
1118,"814265062",C01118,Tina Norris,San Pedro,"2024-10-21","2025-02-17",73,250,3650.0, Non payé,300,Commercial,"903688",Compteur normal,stephen89@gmail.com,"67647807",21900.0,22200.0
1119,"231159664",C01119,William Carpenter,Bouaké,"2023-11-12","2023-11-15",94,250,4700.0, Non payé,1000,Industriel,"127256",Compteur à 4,john24@richardson-lee.com,"79571229",28200.0,29200.0
1120,"272488988",C01120,Brian Jackson,San Pedro,"2023-04-01","2023-08-25",11,300,660.0, Non payé,500,Domestique,"385944",Compteur à 4,qhunt@yahoo.com,"41360837",3960.0,4460.0
1121,"642453668",C01121,Joseph Rodriguez,San Pedro,"2024-08-24","2024-09-10",117,300,7020.0, Non payé,1000,Industriel,"939937",Compteur à 4,tammy63@hamilton.com,"59194258",42120.0,43120.0
1122,"747911520",C01122,Donald Mueller,Yamoussoukro,"2023-06-08","2024-03-21",197,300,11820.0, Non payé,500,Industriel,"982198",Compteur normal,hensleymatthew@yahoo.com,"20627490",70920.0,71420.0
1123,"324477002",C01123,Theresa Sheppard,San Pedro,"2023-07-29","2024-11-17",110,250,5500.0, payé,0,Industriel,"526610",Compteur à 4,rbyrd@yahoo.com,"34690739",33000.0,33000.0
1124,"910648982",C01124,Sierra Lucas,Yamoussoukro,"2023-07-06","2024-08-13",79,300,4740.0, Non payé,300,Domestique,"107456",Compteur à 4,codymartin@yahoo.com,"91293785",28440.0,28740.0
1125,"103818188",C01125,Michael Lopez,Yamoussoukro,"2025-01-04","2025-01-19",65,300,3900.0, payé,0,Commercial,"929296",Compteur à 4,cynthia65@gmail.com,"22151223",23400.0,23400.0
1126,"112789614",C01126,William Stewart,Korhogo,"2023-12-12","2024-06-02",191,300,11460.0, Non payé,300,Industriel,"597499",Compteur normal,eferguson@hotmail.com,"40861177",68760.0,69060.0
1127,"190567937",C01127,Michael Oneal,San Pedro,"2024-07-11","2025-03-21",72,280,4032.0, Non payé,300,Industriel,"394397",Compteur à 4,humphreygregory@palmer.info,"95455483",24192.0,24492.0
1128,"398672422",C01128,Jeffrey Gaines,Korhogo,"2023-11-02","2024-06-22",156,300,9360.0, Non payé,300,Domestique,"473373",Compteur normal,leachsamantha@khan.com,"98725829",56160.0,56460.0
1129,"974467158",C01129,Dr. Charlotte Adams,San Pedro,"2023-03-24","2025-04-29",29,300,1740.0, Non payé,1000,Industriel,"744884",Compteur à 4,chelseamanning@lopez.com,"27547127",10440.0,11440.0
1130,"591081688",C01130,Jacob Henry,Bouaké,"2024-03-07","2024-07-30",92,280,5152.0, payé,0,Domestique,"182467",Compteur normal,katherine80@yahoo.com,"95902571",30912.0,30912.0
1131,"145781957",C01131,Michael Martin,Bouaké,"2024-09-28","2024-11-14",118,250,5900.0, payé,0,Domestique,"771772",Compteur normal,thomassmith@hotmail.com,"74324380",35400.0,35400.0
1132,"886291685",C01132,Gene Russell,Korhogo,"2023-03-15","2023-03-21",166,280,9296.0, Non payé,500,Commercial,"428128",Compteur à 4,emilystevenson@davis.com,"89706858",55776.0,56276.0
1133,"919400146",C01133,Megan Nelson,Abidjan,"2023-07-29","2023-11-14",18,280,1008.0, Non payé,1000,Domestique,"274347",Compteur à 4,davisnicole@yahoo.com,"84313499",6048.0,7048.0
1134,"801897275",C01134,Lauren Castillo,Korhogo,"2024-05-25","2025-03-17",123,280,6888.0, payé,0,Industriel,"996331",Compteur normal,torresglen@lopez-hicks.biz,"49639450",41328.0,41328.0
1135,"434176368",C01135,Melissa Rojas,Abidjan,"2024-10-24","2025-04-10",27,300,1620.0, Non payé,300,Domestique,"453972",Compteur normal,kevin31@yahoo.com,"24114593",9720.0,10020.0
1136,"199949538",C01136,James Torres,Bouaké,"2024-02-23","2024-07-25",106,280,5936.0, Non payé,1000,Industriel,"513807",Compteur normal,daniel53@west-wilson.com,"21469836",35616.0,36616.0
1137,"207900571",C01137,Kelly Smith,Yamoussoukro,"2024-04-30","2024-07-24",163,250,8150.0, Non payé,500,Commercial,"220781",Compteur normal,bmcgrath@pennington-wyatt.com,"83933634",48900.0,49400.0
1138,"259434300",C01138,Steven Zimmerman,Abidjan,"2023-04-27","2024-12-18",133,250,6650.0, Non payé,300,Commercial,"931153",Compteur à 4,donnapatel@yahoo.com,"69244859",39900.0,40200.0
1139,"689962569",C01139,Victoria Brown,Yamoussoukro,"2024-04-16","2024-07-06",69,300,4140.0, Non payé,300,Domestique,"269460",Compteur normal,joseph49@gmail.com,"88246215",24840.0,25140.0
1140,"220604642",C01140,James Stone,Yamoussoukro,"2024-02-06","2024-05-24",35,280,1960.0, Non payé,500,Industriel,"133465",Compteur à 4,tyrone57@hotmail.com,"90957119",11760.0,12260.0
1141,"530872804",C01141,Danielle Morales,Yamoussoukro,"2023-03-22","2023-11-27",114,280,6384.0, Non payé,500,Domestique,"419469",Compteur à 4,amy91@yahoo.com,"90329475",38304.0,38804.0
1142,"415015323",C01142,Amanda Moore,Korhogo,"2024-09-09","2024-11-29",179,300,10740.0, Non payé,1000,Commercial,"470937",Compteur normal,amber56@hotmail.com,"82698610",64440.0,65440.0
1143,"751482231",C01143,Michelle Davis,San Pedro,"2023-10-08","2025-02-04",102,300,6120.0, Non payé,1000,Industriel,"317493",Compteur normal,curtispaula@gmail.com,"67102105",36720.0,37720.0
1144,"253029965",C01144,Lisa Buckley MD,Abidjan,"2024-04-05","2024-05-01",183,250,9150.0, payé,0,Commercial,"711850",Compteur normal,riverajoshua@yahoo.com,"36148025",54900.0,54900.0
1145,"550449647",C01145,Susan Alexander,Abidjan,"2024-02-22","2024-10-14",32,300,1920.0, payé,0,Commercial,"519524",Compteur normal,qberry@yahoo.com,"80947160",11520.0,11520.0
1146,"419578472",C01146,Jon Holmes,Abidjan,"2023-11-10","2025-01-07",133,250,6650.0, Non payé,500,Commercial,"979372",Compteur normal,shellyvasquez@gmail.com,"37986797",39900.0,40400.0
1147,"176572505",C01147,Jacqueline Smith,Yamoussoukro,"2024-01-16","2025-04-08",110,280,6160.0, Non payé,500,Industriel,"195539",Compteur à 4,miaramsey@hotmail.com,"62518584",36960.0,37460.0
1148,"392215637",C01148,Jacqueline Martinez,Yamoussoukro,"2024-08-17","2025-01-19",157,250,7850.0, payé,0,Domestique,"772113",Compteur à 4,blanchardamber@dunn.com,"91365299",47100.0,47100.0
1149,"200636652",C01149,Chad Curry,Bouaké,"2024-07-31","2025-02-21",84,250,4200.0, Non payé,1000,Commercial,"214318",Compteur à 4,brian73@gmail.com,"94013121",25200.0,26200.0
1150,"993254828",C01150,Carla Rogers,Yamoussoukro,"2023-08-15","2024-02-22",184,300,11040.0, Non payé,300,Industriel,"210286",Compteur normal,kingerin@hotmail.com,"67161560",66240.0,66540.0
1151,"318761790",C01151,Margaret Melton,San Pedro,"2023-03-05","2023-06-23",169,250,8450.0, Non payé,300,Industriel,"697796",Compteur à 4,johnsonlisa@williams.com,"24214444",50700.0,51000.0
1152,"267763517",C01152,Rose Hamilton,Bouaké,"2024-12-13","2025-04-20",91,300,5460.0, Non payé,500,Domestique,"747004",Compteur à 4,dawnstrong@hotmail.com,"81315015",32760.0,33260.0
1153,"393415416",C01153,Kenneth Clayton,Korhogo,"2024-10-15","2025-04-07",135,250,6750.0, Non payé,300,Commercial,"706785",Compteur à 4,bturner@yahoo.com,"64900066",40500.0,40800.0
1154,"626954857",C01154,Lauren Dixon,Abidjan,"2023-09-24","2024-12-17",84,280,4704.0, Non payé,1000,Industriel,"693341",Compteur normal,sara46@yahoo.com,"38139648",28224.0,29224.0
1155,"185117491",C01155,Cameron Bennett,Abidjan,"2023-04-22","2023-07-30",184,300,11040.0, payé,0,Commercial,"100610",Compteur normal,catherinecook@murphy-bradley.com,"84247934",66240.0,66240.0
1156,"422903511",C01156,Robert Petty,Yamoussoukro,"2024-03-08","2024-11-28",66,300,3960.0, Non payé,1000,Commercial,"999806",Compteur à 4,christopherboyd@gmail.com,"99707160",23760.0,24760.0
1157,"547315382",C01157,Steve Simmons,Yamoussoukro,"2024-08-01","2025-03-21",50,280,2800.0, Non payé,300,Industriel,"968877",Compteur à 4,martin42@yahoo.com,"87765807",16800.0,17100.0
1158,"871924302",C01158,Maria Suarez,Korhogo,"2024-09-05","2025-01-14",168,250,8400.0, Non payé,1000,Industriel,"579661",Compteur à 4,thompsonjohn@gmail.com,"23028136",50400.0,51400.0
1159,"473036799",C01159,Crystal Larson,Yamoussoukro,"2023-09-02","2023-10-30",156,280,8736.0, Non payé,1000,Domestique,"844715",Compteur normal,michaelbowen@lopez.info,"42620490",52416.0,53416.0
1160,"829912307",C01160,Ronald Barry,Abidjan,"2023-08-28","2023-09-24",6,300,360.0, Non payé,1000,Industriel,"479704",Compteur à 4,michaelfrancis@gmail.com,"82519835",2160.0,3160.0
1161,"278307968",C01161,Curtis Thomas,Korhogo,"2024-01-14","2024-07-06",42,280,2352.0, Non payé,500,Domestique,"564579",Compteur normal,uprice@silva-lamb.com,"99980568",14112.0,14612.0
1162,"505717749",C01162,Ashley Cox,Abidjan,"2023-12-31","2025-02-04",191,280,10696.0, Non payé,500,Industriel,"979126",Compteur à 4,michael83@smith.org,"95467132",64176.0,64676.0
1163,"742646549",C01163,Patrick Woodard,San Pedro,"2024-12-28","2025-01-18",155,300,9300.0, Non payé,1000,Industriel,"825053",Compteur normal,pellis@hotmail.com,"89114369",55800.0,56800.0
1164,"615964264",C01164,Kimberly Cook,Korhogo,"2024-06-30","2025-03-25",31,300,1860.0, Non payé,300,Domestique,"213354",Compteur normal,william78@hotmail.com,"23702571",11160.0,11460.0
1165,"933543071",C01165,Shane Phillips,Korhogo,"2025-02-02","2025-03-12",68,280,3808.0, Non payé,500,Commercial,"435318",Compteur normal,jack05@hotmail.com,"24913514",22848.0,23348.0
1166,"414447268",C01166,Lisa Hurley,Yamoussoukro,"2024-03-22","2025-03-13",158,280,8848.0, payé,0,Domestique,"910289",Compteur normal,achurch@gmail.com,"37340509",53088.0,53088.0
1167,"711021386",C01167,Hannah Smith,Abidjan,"2024-03-13","2024-09-29",104,280,5824.0, payé,0,Commercial,"984587",Compteur normal,jason00@smith.net,"32998768",34944.0,34944.0
1168,"983979377",C01168,Jacob Jackson,San Pedro,"2023-10-29","2023-11-13",110,280,6160.0, Non payé,300,Commercial,"443976",Compteur normal,gfoster@hotmail.com,"33235739",36960.0,37260.0
1169,"646648654",C01169,Nicole Gregory,San Pedro,"2023-04-21","2025-04-27",93,280,5208.0, Non payé,300,Domestique,"829534",Compteur à 4,james43@pearson.com,"84189414",31248.0,31548.0
1170,"708556661",C01170,Matthew Lowe,San Pedro,"2023-05-20","2023-12-19",119,280,6664.0, Non payé,300,Domestique,"451411",Compteur à 4,qsolomon@yahoo.com,"81716544",39984.0,40284.0
1171,"678228609",C01171,Rebecca King,San Pedro,"2024-07-05","2025-03-16",44,280,2464.0, payé,0,Commercial,"535970",Compteur à 4,matthewwilliams@smith.com,"41281856",14784.0,14784.0
1172,"347484957",C01172,Robert Bell,San Pedro,"2025-01-13","2025-01-14",43,250,2150.0, Non payé,500,Industriel,"562117",Compteur normal,mooreshelly@lawrence-white.com,"55527782",12900.0,13400.0
1173,"359201258",C01173,Dylan Parker,Yamoussoukro,"2023-03-22","2023-06-04",181,250,9050.0, Non payé,500,Industriel,"441778",Compteur à 4,ycobb@hicks.com,"34649020",54300.0,54800.0
1174,"793464489",C01174,Julia Carrillo,Yamoussoukro,"2024-07-27","2024-12-20",35,300,2100.0, Non payé,500,Commercial,"520639",Compteur à 4,combsshelby@miller.net,"65891256",12600.0,13100.0
1175,"940146529",C01175,Brian Leonard,San Pedro,"2024-01-16","2024-02-14",53,300,3180.0, payé,0,Domestique,"179840",Compteur normal,myersangela@miranda-bailey.com,"35147421",19080.0,19080.0
1176,"626326592",C01176,Deborah Crawford,San Pedro,"2023-04-17","2025-03-13",57,300,3420.0, Non payé,500,Commercial,"475306",Compteur à 4,robin86@gmail.com,"85683035",20520.0,21020.0
1177,"979938583",C01177,Rebecca Cabrera,Korhogo,"2023-10-25","2025-03-30",69,280,3864.0, payé,0,Domestique,"174884",Compteur à 4,david10@gmail.com,"23411789",23184.0,23184.0
1178,"990846612",C01178,Kevin Allen,Abidjan,"2024-05-30","2024-06-02",106,250,5300.0, Non payé,500,Commercial,"106394",Compteur à 4,jeansimon@burns.com,"21628029",31800.0,32300.0
1179,"221282256",C01179,Shane Stewart,Yamoussoukro,"2024-09-07","2025-04-05",86,250,4300.0, payé,0,Industriel,"191247",Compteur normal,markthompson@eaton-johnson.com,"60564405",25800.0,25800.0
1180,"298268742",C01180,Julie Carlson,Korhogo,"2024-05-14","2024-05-25",105,300,6300.0, Non payé,1000,Domestique,"501197",Compteur à 4,harmonryan@hotmail.com,"44342247",37800.0,38800.0
1181,"468598498",C01181,Dorothy Castro,Abidjan,"2023-05-22","2024-03-20",29,300,1740.0, Non payé,1000,Domestique,"136340",Compteur à 4,katherinefitzgerald@craig.com,"46051229",10440.0,11440.0
1182,"275180168",C01182,Donna Barrera,Abidjan,"2023-05-20","2023-06-06",52,250,2600.0, Non payé,500,Commercial,"296640",Compteur normal,rgutierrez@buchanan.com,"69343039",15600.0,16100.0
1183,"189281138",C01183,Robert Williams,Yamoussoukro,"2024-11-04","2024-11-09",63,300,3780.0, Non payé,500,Industriel,"881033",Compteur normal,morganjerry@hotmail.com,"49270745",22680.0,23180.0
1184,"145341952",C01184,Cindy Hill,Korhogo,"2023-02-08","2024-03-29",199,300,11940.0, Non payé,300,Domestique,"318908",Compteur à 4,williamsmichael@zimmerman.com,"57897563",71640.0,71940.0
1185,"440097645",C01185,Lori Buckley,Yamoussoukro,"2023-12-21","2024-02-22",52,250,2600.0, Non payé,1000,Commercial,"628146",Compteur normal,amclaughlin@yahoo.com,"28475358",15600.0,16600.0
1186,"498900323",C01186,Veronica Duncan,Yamoussoukro,"2023-08-07","2024-08-01",93,250,4650.0, payé,0,Domestique,"874135",Compteur à 4,lturner@hotmail.com,"62349153",27900.0,27900.0
1187,"306264796",C01187,William Velasquez,Abidjan,"2024-07-27","2024-12-17",64,300,3840.0, Non payé,1000,Domestique,"425708",Compteur normal,adkinsmary@soto.org,"20451725",23040.0,24040.0
1188,"813960824",C01188,Donna Reed,Bouaké,"2023-08-30","2025-01-24",45,300,2700.0, Non payé,1000,Commercial,"702977",Compteur à 4,anthonynelson@hotmail.com,"36194021",16200.0,17200.0
1189,"706505099",C01189,Todd Anderson,Yamoussoukro,"2023-06-14","2023-06-17",97,280,5432.0, payé,0,Domestique,"360794",Compteur normal,alisha24@gmail.com,"85970178",32592.0,32592.0
1190,"954716452",C01190,Scott King,Korhogo,"2024-03-19","2025-01-07",62,250,3100.0, Non payé,300,Domestique,"951479",Compteur normal,bcole@hotmail.com,"83511832",18600.0,18900.0
1191,"728339906",C01191,Steve Baldwin,Yamoussoukro,"2024-05-27","2025-02-11",10,300,600.0, Non payé,300,Industriel,"896625",Compteur normal,cooperkarl@nguyen.com,"36567999",3600.0,3900.0
1192,"912470147",C01192,Haley Buchanan,San Pedro,"2023-03-03","2023-08-21",128,300,7680.0, Non payé,1000,Commercial,"644759",Compteur normal,kwall@gmail.com,"68535491",46080.0,47080.0
1193,"619890264",C01193,Louis Davis,San Pedro,"2023-12-07","2024-05-01",161,250,8050.0, Non payé,500,Commercial,"542612",Compteur normal,beckynelson@yahoo.com,"42267693",48300.0,48800.0
1194,"650152324",C01194,Kimberly Jones,San Pedro,"2024-02-27","2024-11-28",44,300,2640.0, Non payé,1000,Industriel,"727012",Compteur à 4,maxwellkristin@flores.com,"77963580",15840.0,16840.0
1195,"997739483",C01195,Catherine Johnson,Abidjan,"2024-03-13","2024-10-02",47,250,2350.0, payé,0,Domestique,"863349",Compteur à 4,james55@martin-mosley.com,"37164172",14100.0,14100.0
1196,"865175187",C01196,Kayla Hood,Abidjan,"2024-04-21","2024-08-16",69,280,3864.0, Non payé,300,Domestique,"374628",Compteur à 4,amy64@gibson-stein.com,"44229482",23184.0,23484.0
1197,"870979323",C01197,Justin Miller,Bouaké,"2024-10-11","2025-02-23",164,300,9840.0, Non payé,300,Commercial,"528103",Compteur normal,kellymathis@reyes-jones.com,"26859038",59040.0,59340.0
1198,"839435692",C01198,Jasmine Kelley,Korhogo,"2024-04-25","2024-07-13",141,300,8460.0, payé,0,Industriel,"679933",Compteur normal,samantha92@daniels-gordon.com,"70305775",50760.0,50760.0
1199,"180520503",C01199,Matthew Hubbard,Abidjan,"2023-08-26","2024-11-26",162,250,8100.0, Non payé,1000,Industriel,"719636",Compteur à 4,nataliehooper@gmail.com,"98586720",48600.0,49600.0
1200,"300082947",C01200,Scott Jones,San Pedro,"2024-05-06","2024-11-12",182,300,10920.0, payé,0,Commercial,"667754",Compteur à 4,amy37@gmail.com,"86347629",65520.0,65520.0
1201,"688358078",C01201,Michelle Pierce,Abidjan,"2023-12-28","2024-06-04",192,250,9600.0, Non payé,1000,Industriel,"267902",Compteur normal,michellemcguire@yahoo.com,"94024489",57600.0,58600.0
1202,"468719432",C01202,Regina Coleman,San Pedro,"2023-08-19","2024-08-06",200,300,12000.0, Non payé,300,Industriel,"270341",Compteur à 4,ahall@hatfield-white.biz,"55667144",72000.0,72300.0
1203,"184423067",C01203,Kenneth Clarke,Korhogo,"2023-03-18","2023-09-04",58,280,3248.0, payé,0,Industriel,"332362",Compteur normal,randythompson@yahoo.com,"21721346",19488.0,19488.0
1204,"152381609",C01204,Adam Clay,Korhogo,"2024-07-18","2025-04-15",200,280,11200.0, payé,0,Domestique,"397479",Compteur à 4,grayamy@berry.info,"95149608",67200.0,67200.0
1205,"364747201",C01205,Kevin Harmon,Yamoussoukro,"2023-02-27","2024-03-31",62,280,3472.0, Non payé,500,Industriel,"754331",Compteur à 4,wreed@salazar-wilson.org,"77264054",20832.0,21332.0
1206,"793489606",C01206,Keith Myers,Korhogo,"2024-01-18","2024-07-31",28,250,1400.0, payé,0,Industriel,"122039",Compteur normal,reginawilliams@hotmail.com,"77826787",8400.0,8400.0
1207,"858970435",C01207,Jonathan Gonzalez,San Pedro,"2023-03-30","2024-05-15",96,280,5376.0, payé,0,Industriel,"987407",Compteur normal,logan07@hotmail.com,"97479151",32256.0,32256.0
1208,"170719266",C01208,Brittany Wright,San Pedro,"2024-01-31","2025-02-23",22,300,1320.0, Non payé,300,Industriel,"317736",Compteur à 4,natashasmith@yahoo.com,"22098015",7920.0,8220.0
1209,"799707953",C01209,Jeffrey Thompson,San Pedro,"2023-07-22","2024-06-21",74,250,3700.0, Non payé,500,Industriel,"826330",Compteur à 4,sherilopez@gomez-rivas.org,"22370560",22200.0,22700.0
1210,"670238795",C01210,Deanna Mccann,Korhogo,"2024-08-06","2025-01-02",36,300,2160.0, Non payé,1000,Industriel,"123025",Compteur normal,haley37@hotmail.com,"55292452",12960.0,13960.0
1211,"474851698",C01211,Ricky Bennett,Korhogo,"2023-05-20","2023-06-27",147,300,8820.0, Non payé,500,Commercial,"668432",Compteur à 4,lisa75@yahoo.com,"77896529",52920.0,53420.0
1212,"335116973",C01212,Donna Jackson,Bouaké,"2024-05-15","2024-09-18",54,250,2700.0, Non payé,300,Industriel,"416512",Compteur à 4,grayandrea@raymond.com,"69115428",16200.0,16500.0
1213,"259065144",C01213,Paul Dixon,Korhogo,"2023-08-10","2023-09-11",144,300,8640.0, Non payé,300,Commercial,"222088",Compteur normal,jamesweaver@yahoo.com,"93259064",51840.0,52140.0
1214,"869757612",C01214,Tami Hall,Abidjan,"2023-08-28","2023-11-11",76,280,4256.0, Non payé,500,Industriel,"243930",Compteur à 4,thompsonmarilyn@smith.org,"77092881",25536.0,26036.0
1215,"475517372",C01215,Kaitlin Archer,Abidjan,"2024-08-16","2025-04-07",44,300,2640.0, Non payé,500,Domestique,"598647",Compteur à 4,ijohnson@pearson-brown.com,"59407556",15840.0,16340.0
1216,"405074106",C01216,Melanie Hunter,Korhogo,"2023-02-06","2024-10-24",62,300,3720.0, Non payé,500,Commercial,"510855",Compteur normal,erinrodgers@mercado-davis.com,"47294822",22320.0,22820.0
1217,"325713909",C01217,Angelica Sanchez,Bouaké,"2023-10-26","2024-02-14",29,300,1740.0, Non payé,300,Commercial,"949015",Compteur à 4,ryan53@gmail.com,"41658969",10440.0,10740.0
1218,"498889887",C01218,Joseph Johnson,Yamoussoukro,"2024-12-13","2025-01-13",38,280,2128.0, Non payé,500,Industriel,"614844",Compteur normal,jessemcpherson@gmail.com,"78958695",12768.0,13268.0
1219,"937181689",C01219,William Brown,San Pedro,"2023-10-23","2024-12-02",9,250,450.0, Non payé,300,Commercial,"331380",Compteur normal,loritorres@fields.com,"30581845",2700.0,3000.0
1220,"139385324",C01220,John Walker,San Pedro,"2024-12-17","2025-02-26",49,300,2940.0, Non payé,300,Domestique,"692232",Compteur normal,jasonwyatt@yahoo.com,"80533205",17640.0,17940.0
1221,"159790884",C01221,Larry Myers,San Pedro,"2023-12-09","2025-01-27",194,250,9700.0, Non payé,500,Commercial,"329075",Compteur à 4,lsmith@cummings.com,"43190995",58200.0,58700.0
1222,"181947637",C01222,Eric Simmons,Bouaké,"2023-10-05","2023-10-17",100,300,6000.0, payé,0,Commercial,"252674",Compteur à 4,smithgary@marshall.biz,"26279999",36000.0,36000.0
1223,"830478543",C01223,Gregory Cole,Abidjan,"2023-10-04","2023-12-26",144,280,8064.0, Non payé,500,Industriel,"197765",Compteur normal,kennethavery@young-shaffer.biz,"96558282",48384.0,48884.0
1224,"580075201",C01224,David Jacobson,San Pedro,"2024-02-01","2024-03-29",6,300,360.0, Non payé,500,Commercial,"975797",Compteur à 4,vasquezkatherine@coleman.com,"98232678",2160.0,2660.0
1225,"487460875",C01225,Bryan Bruce,San Pedro,"2023-07-01","2024-11-11",32,300,1920.0, Non payé,300,Domestique,"356619",Compteur à 4,erika52@hotmail.com,"38055988",11520.0,11820.0
1226,"520785451",C01226,Patricia Martin,Korhogo,"2024-05-14","2025-03-27",12,300,720.0, Non payé,500,Domestique,"194907",Compteur normal,mary47@gmail.com,"30136995",4320.0,4820.0
1227,"221947778",C01227,Karen Cole,Korhogo,"2024-03-05","2024-10-04",50,250,2500.0, Non payé,1000,Industriel,"123900",Compteur normal,lindafisher@hotmail.com,"72640898",15000.0,16000.0
1228,"126610750",C01228,Lori Watson,Korhogo,"2024-02-16","2025-02-20",34,300,2040.0, Non payé,1000,Industriel,"787834",Compteur normal,bparker@hotmail.com,"42829734",12240.0,13240.0
1229,"456566654",C01229,Catherine Clarke,San Pedro,"2023-10-24","2023-11-09",27,280,1512.0, Non payé,300,Domestique,"476384",Compteur à 4,melissaroberts@yahoo.com,"33249671",9072.0,9372.0
1230,"556850537",C01230,Laura Mitchell,Yamoussoukro,"2024-07-20","2024-09-14",10,300,600.0, Non payé,500,Industriel,"231176",Compteur normal,mstewart@hotmail.com,"74114174",3600.0,4100.0
1231,"931297144",C01231,Sarah Nichols,Yamoussoukro,"2024-02-22","2024-08-13",142,280,7952.0, payé,0,Industriel,"469771",Compteur à 4,sandersmichael@wright-garner.com,"29881089",47712.0,47712.0
